"Ticket Key","Epic Key","Summary","Description","Owner","Estimate","Priority","Sprint","Dependencies","Labels","Acceptance Criteria"
"STLD-NBT101","STLD-NB1","Fix provider publication/listing PG durability parity","Replace in-memory publication/listing writes on beta-critical paths with Postgres-backed persistence and deterministic read models.","Backend","3d","Highest","BETA-W1","","durability,postgres,marketplace","Provider publication and listing state survives process restart; parity tests pass in memory and pg modes; no behavior drift on existing API contracts."
"STLD-NBT102","STLD-NB1","Close finance reconciliation PG parity gap","Align reconciliation and triage read/write paths so production PG mode has full feature parity with local mode.","Backend + Finance Ops","3d","Highest","BETA-W2","STLD-NBT101","finance,reconciliation,postgres","Reconciliation triage endpoints return complete data in PG mode; regression tests cover mismatch scenarios and fail closed on missing evidence."
"STLD-NBT103","STLD-NB1","Add x402 webhook upsert op-kind parity","Implement missing `X402_WEBHOOK_ENDPOINT_UPSERT` op-kind support across storage adapters and validation paths.","Backend","2d","Highest","BETA-W1","","x402,webhook,contract","Webhook endpoint upsert succeeds in supported environments; op-kind validation is consistent across adapters; negative tests assert deterministic reject codes."
"STLD-NBT104","STLD-NB1","Remove ops token query-param auth path","Delete query-parameter auth fallback and require header/session-based auth for all ops surfaces.","Security + Backend","2d","Highest","BETA-W1","","security,auth,fail-closed","All ops endpoints reject query-param token auth; audit log verifies header/session auth only; compatibility note published with migration guidance."
"STLD-NBT105","STLD-NB1","Enforce single release version source of truth","Bind `package.json` and `NOOTERRA_VERSION` through a gate that blocks release on mismatch.","Release + DevEx","1d","Highest","BETA-W1","","release,versioning,determinism","Release checks fail when versions differ; release artifact embeds a single canonical version string; changelog references same version."
"STLD-NBT106","STLD-NB1","Harden external conformance binary resolution","Make conformance commands resolve runtime binaries deterministically for external users without hidden local assumptions.","DevEx","2d","High","BETA-W2","STLD-NBT105","conformance,cli,developer-experience","Conformance commands run from fresh external install; path resolution errors emit actionable, stable diagnostics; CI includes external-path smoke."
"STLD-NBT201","STLD-NB2","Stabilize auth-mode and signup/login contract","Freeze and test public auth-mode discovery and tenant login/signup contract behavior across enabled modes.","Backend + QA","2d","Highest","BETA-W1","STLD-NBT104","identity,auth,contract","Auth-mode endpoint and login/signup routes pass contract tests for enabled modes; disabled modes fail closed with stable reason codes."
"STLD-NBT202","STLD-NB2","Enforce tenant-scoped RBAC on ops routes","Apply explicit tenant and role checks across operational endpoints used by onboarding and support.","Security + Backend","3d","Highest","BETA-W2","STLD-NBT201","rbac,tenant-isolation,security","Unauthorized role access is denied on every guarded route; cross-tenant access attempts fail deterministically and are audit logged."
"STLD-NBT203","STLD-NB2","Add OTP/session replay protections","Add nonce, expiry, and replay detection to OTP/session flows with explicit machine-readable reject reasons.","Security + Backend","2d","High","BETA-W2","STLD-NBT201","otp,sessions,replay-protection","Expired/replayed OTP/session tokens are rejected with stable reason codes; success path unaffected; tests cover clock skew boundaries."
"STLD-NBT204","STLD-NB2","Automate key rotation and revoke drill","Codify and test key rotation plus revoke workflows with rollback-safe runbook steps.","Security + Ops","2d","High","BETA-W3","STLD-NBT202","keys,rotation,operations","Rotation and revoke drills pass in staging; previously issued artifacts remain verifiable; emergency rollback path is documented and tested."
