Ticket Key,Epic Key,Summary,Description,Owner,Estimate,Priority,Sprint,Dependencies,Labels,Acceptance Criteria
STLD-T2401,STLD-E2401,Implement canonical runtime policy decision point,Route every paid action path through one deterministic decision service returning allow/challenge/deny/escalate plus stable policy metadata.,Backend Platform,5d,Highest,S1,,"policy-runtime,enforcement,trust-os",Every paid action path calls policy runtime before execution; decision payload includes decision/reasonCode/policyHash/policyVersion/decisionId; identical input+policy produces identical output.
STLD-T2402,STLD-E2401,Publish stable reason code registry and API mapping,"Define schema-validated reason codes for denied/challenged/escalated outcomes and map them consistently across API, CLI, and SDK surfaces.",Backend Platform,3d,Highest,S1,STLD-T2401,"reason-codes,api-contract",Reason code registry is documented and schema-validated; API responses include reason codes and remediation hints; CLI/SDK display the same reason codes for the same failure.
STLD-T2403,STLD-E2401,Enforce policy runtime at MCP entry and bridge paths,Prevent MCP and bridge integrations from bypassing Trust OS runtime decisions.,MCP + Integrations,3d,Highest,S1,STLD-T2401,"mcp,enforcement,integrations",MCP tool calls cannot bypass policy runtime; MCP responses include decision metadata; integration tests cover allow/challenge/deny flows.
STLD-T2404,STLD-E2401,Add policy decision metrics and latency SLO instrumentation,Emit decision-volume and latency metrics with dashboards and actionable alerting thresholds.,DevOps + Observability,2d,High,S1,STLD-T2401,"observability,slo,policy-runtime",Metrics include decision counts by type/reason and latency p50/p95; dashboard is published; alerts fire when SLO thresholds are breached.
STLD-T2410,STLD-E2402,Enforce request binding for authorization tokens,Bind authorization artifacts to canonical request fingerprints and reject mutation/replay deterministically.,Backend Platform,4d,Highest,S1,STLD-T2401,"request-binding,replay-protection",Replay or request mutation attempts fail with stable error codes; fingerprint algorithm is versioned; strict and side-effecting vectors are added.
STLD-T2411,STLD-E2402,Bind policy and request hashes into decision records,Persist policy hash/version and request hash in every settlement decision record and verification artifact.,Backend Platform,2d,Highest,S1,STLD-T2410,"decision-records,evidence-binding",Decision records always include policy/version/request bindings; offline verification validates binding integrity.
STLD-T2412,STLD-E2402,Ship deterministic ReceiptBundle.v1 export,Export ReceiptBundle.v1 with canonical manifest and deterministic verification outputs for audit portability.,Protocol + Backend,4d,Highest,S2,STLD-T2411,"receipt-bundle,determinism,offline-verify",Receipt bundle contains decision/settlement/verification artifacts; strict offline verification passes; repeated export of identical evidence yields identical canonical hashes.
STLD-T2413,STLD-E2402,Add JS and Python SDK helpers for receipt export,"Provide ergonomic SDK APIs for receipt retrieval and export in JavaScript and Python, including smoke coverage.",SDK,3d,High,S2,STLD-T2412,"sdk,receipts,devex",JS and Python SDKs expose receipt export APIs; smoke tests cover end-to-end retrieval and verification from both SDKs.
STLD-T2420,STLD-E2403,Implement dispute case state machine,Implement deterministic dispute lifecycle transitions with idempotent semantics and signed append-only timelines.,Backend Platform,4d,Highest,S2,STLD-T2411,"disputes,state-machine",Case states support opened/evidence_collected/under_review/verdict_issued/closed; invalid transitions fail with stable codes; timeline is append-only and signed.
STLD-T2421,STLD-E2403,Implement verdict application pipeline,Map dispute verdicts to deterministic release/refund/reversal outcomes with idempotent processing guarantees.,Backend Platform,4d,Highest,S2,STLD-T2420,"verdicts,reversal,settlement",Each verdict deterministically maps to financial outcome; reversal ledger entries are balanced and idempotent; duplicate verdict processing cannot double-settle.
