Title,Description,Priority,Status,Assignee,Labels,Estimate
ACT-001 Freeze v1 object model,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-001
Epic: Core domain model and state machines
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 0
Area: Core domain model and state machines
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: None

Why
Locking the core objects early prevents silent contract drift across API, UI, and verification work.

Scope
- Define Action Intent through Settlement Event as the launch object set
- Pin schema names, field ownership, and persistence mappings
- Record unresolved object questions and close them in Sprint 0

Out of Scope
- New object families beyond the nine launch objects
- Phase 1.5 contract expansion

Acceptance Criteria
- Schema doc exists for all launch objects
- DB mappings exist for each locked object
- No unresolved field questions remain

Tests
- unit: schema and transition checks
- integration: persistence mappings
- manual: state diagram review

Metrics
- grant validation failures
- receipt coverage

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Ready,,"launch-1,action-wallet,epic-a,lane-a,act-001,sprint-0,action-buy,action-cancel-recover,channel-platform",3
ACT-002 Define intent state machine,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-002
Epic: Core domain model and state machines
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 0
Area: Core domain model and state machines
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-001

Why
Intent state drift will break approvals, execution, and receipts unless transitions are explicit and enforced.

Scope
- Define draft through cancelled states
- Block invalid transitions at the domain layer
- Document the state diagram and transition log format

Out of Scope
- Ad hoc state changes in handlers
- Extra launch states beyond the locked set

Acceptance Criteria
- Invalid transitions are blocked
- Every transition is logged
- State diagram is documented

Tests
- unit: schema and transition checks
- integration: persistence mappings
- manual: state diagram review

Metrics
- grant validation failures
- receipt coverage

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Ready,,"launch-1,action-wallet,epic-a,lane-a,act-002,sprint-0,action-buy,action-cancel-recover,channel-platform",3
ACT-003 Define approval state machine,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-003
Epic: Core domain model and state machines
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 0
Area: Core domain model and state machines
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-001

Why
Approval links and decisions need a single lifecycle so hosts and users read the same truth.

Scope
- Define pending through revoked states
- Specify expiry and revocation behavior
- Align decision writes to the approval lifecycle

Out of Scope
- Multiple approval lifecycles by channel
- Reusable links beyond the launch rules

Acceptance Criteria
- Approval states are locked to pending, approved, denied, expired, and revoked
- Expiry and revocation rules are explicit
- Decision writes use the same state model

Tests
- unit: schema and transition checks
- integration: persistence mappings
- manual: state diagram review

Metrics
- grant validation failures
- receipt coverage

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Ready,,"launch-1,action-wallet,epic-a,lane-a,act-003,sprint-0,action-buy,action-cancel-recover,channel-platform",2
ACT-004 Define execution grant semantics,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-004
Epic: Core domain model and state machines
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 0
Area: Core domain model and state machines
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-001, ACT-003

Why
Grants are the core authority envelope; unclear semantics create uncapped or out-of-scope execution risk.

Scope
- Lock principal, action type, host, allowlist, spend cap, expiry, evidence requirements, nonce, and lineage reference fields
- Define grant validation semantics
- Specify how grants bind back to approvals

Out of Scope
- Broad delegated authority outside launch actions
- Open multi-agent delegation semantics

Acceptance Criteria
- All listed fields are defined
- Grant validation semantics are documented
- Approval binding rules are explicit

Tests
- unit: schema and transition checks
- integration: persistence mappings
- manual: state diagram review

Metrics
- grant validation failures
- receipt coverage

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Ready,,"launch-1,action-wallet,epic-a,lane-a,act-004,sprint-0,action-buy,action-cancel-recover,channel-platform",3
ACT-005 Define receipt semantics,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-005
Epic: Core domain model and state machines
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 0
Area: Core domain model and state machines
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-001, ACT-004

Why
The launch promise collapses if receipts do not bind approval, grant, evidence, settlement, and dispute state.

Scope
- Define receipt bindings to approval, grant, evidence, settlement, verifier verdict, dispute state, and deterministic hash
- Specify required receipt fields for both launch actions
- Document receipt read model expectations

Out of Scope
- Loose human-only confirmations
- Receipt fields not tied to a source object

Acceptance Criteria
- Receipt schema binds all required objects
- Required launch fields are documented
- Deterministic hash rules are defined

Tests
- unit: schema and transition checks
- integration: persistence mappings
- manual: state diagram review

Metrics
- grant validation failures
- receipt coverage

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Ready,,"launch-1,action-wallet,epic-a,lane-a,act-005,sprint-0,action-buy,action-cancel-recover,channel-platform",3
ACT-006 Define dispute lifecycle,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-006
Epic: Core domain model and state machines
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 0
Area: Core domain model and state machines
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-001

Why
Dispute state must be explicit before receipts and operator tools can attach recourse correctly.

Scope
- Define opened through resolved states
- Specify triage and evidence waiting behavior
- Document resolution end states

Out of Scope
- Financial verdict logic beyond the lifecycle contract
- Custom dispute states by host runtime

Acceptance Criteria
- Dispute states are locked
- Triage and evidence wait behavior is documented
- Resolution end states are explicit

Tests
- unit: schema and transition checks
- integration: persistence mappings
- manual: state diagram review

Metrics
- grant validation failures
- receipt coverage

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Ready,,"launch-1,action-wallet,epic-a,lane-a,act-006,sprint-0,action-buy,action-cancel-recover,channel-platform",2
ACT-007 Define idempotency model,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-007
Epic: Core domain model and state machines
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 0
Area: Core domain model and state machines
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-001

Why
Create and finalize calls must be replay-safe before external hosts integrate.

Scope
- Define idempotency key handling for create and finalize endpoints
- Specify collision and replay responses
- Document storage and expiry expectations

Out of Scope
- Best-effort duplicate suppression
- Endpoint-specific idempotency semantics

Acceptance Criteria
- Create and finalize endpoints require idempotency support
- Replay behavior is documented
- Storage and expiry rules are explicit

Tests
- unit: schema and transition checks
- integration: persistence mappings
- manual: state diagram review

Metrics
- grant validation failures
- receipt coverage

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Ready,,"launch-1,action-wallet,epic-a,lane-a,act-007,sprint-0,action-buy,action-cancel-recover,channel-platform",2
ACT-008 Define deterministic hashing,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-008
Epic: Core domain model and state machines
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 0
Area: Core domain model and state machines
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-001

Why
Stable hashes are required for receipts, offline verification, and launch-grade auditability.

Scope
- Define semantic sha256 hashing for intent, grant, evidence bundle, and receipt
- Document canonical serialization rules
- Specify versioning for future hash changes

Out of Scope
- Non-canonical hashing behavior
- Hashing for Phase 1.5 objects

Acceptance Criteria
- All four launch objects have stable semantic hashes
- Canonical serialization rules are documented
- Hash versioning strategy is defined

Tests
- unit: schema and transition checks
- integration: persistence mappings
- manual: state diagram review

Metrics
- grant validation failures
- receipt coverage

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Ready,,"launch-1,action-wallet,epic-a,lane-a,act-008,sprint-0,action-buy,action-cancel-recover,channel-platform",3
ACT-009 Define event taxonomy,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-009
Epic: Core domain model and state machines
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 0
Area: Core domain model and state machines
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: ACT-002, ACT-003, ACT-006

Why
Metrics, operator timelines, and debugging all depend on a stable event taxonomy from day one.

Scope
- Define the nine launch lifecycle events
- Name event payloads and emit points
- Map events to product and ops metrics

Out of Scope
- Free-form event names
- Metrics that depend on undocumented events

Acceptance Criteria
- All listed events are defined
- Emit points are documented
- Metric mapping exists for the launch board

Tests
- unit: schema and transition checks
- integration: persistence mappings
- manual: state diagram review

Metrics
- grant validation failures
- receipt coverage

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Ready,,"launch-1,action-wallet,epic-a,lane-a,act-009,sprint-0,action-buy,action-cancel-recover,channel-platform",2
ACT-010 Passkey-first account setup,"Launch 1 - Action Wallet import seed

Ticket Key: ACT-010
Epic: Auth, identity, and approval security
Owner: Lane A
Owner Lane: Lane A - Control plane/backend
Sprint: Sprint 1
Area: Auth, identity, and approval security
Launch Critical: true
Action Type: buy, cancel/recover
Channel: platform
Dependencies: None

Why
Hosted approvals need a low-friction account model that is secure enough for payment-bound actions.

Scope
- Implement passkey-first sign up and sign in
- Provide one recovery path
- Support hosted approval entry into account setup

Out of Scope
- Password-first auth
- Enterprise identity depth

Acceptance Criteria
- Users can sign up with passkeys
- Users can sign in with passkeys
- A recovery path exists

Tests
- unit: auth and token validation
- integration: sign-in and approval-link flows
- smoke: account setup and revoke path

Metrics
- approval completion rate
- grant validation failures
- out-of-scope execution attempts

Rollback Note
Ship behind versioned schema or API gates and keep old read paths until backfill and smoke coverage pass.",Highest,Backlog,,"launch-1,action-wallet,epic-b,lane-a,act-010,sprint-1,action-buy,action-cancel-recover,channel-platform",5
