Ticket Key,Epic Key,Summary,Description,Owner,Estimate,Priority,Sprint,Dependencies,Labels,Acceptance Criteria
STLD-T183,STLD-E12,Persist money rail operations in Postgres,"Replace process-local adapter state with durable tenant-scoped operation and provider-event persistence for payout and collection rails.",Backend,4d,Highest,W1,STLD-T171,"money-rails,persistence,backend",Money rail operations and provider events survive API restart and reconcile identically across repeated reads
STLD-T184,STLD-E12,Wire API to durable money rail adapter,"Use store-backed money rail adapter in API create/status/cancel/ingest flows with deterministic fallback behavior in sandbox.",Backend,3d,Highest,W1,STLD-T183,"money-rails,api",All ops money-rail endpoints operate on durable state and existing e2e money-rail tests pass
STLD-T185,STLD-E12,Ship billable usage event ledger,"Emit billable usage events for verified runs settled volume and arbitration usage with immutable audit fields.",Backend,3d,Highest,W1,"STLD-T142,STLD-T179","billing,metering,events",Usage event stream is queryable by tenant and period and matches deterministic replay under repeated inputs
STLD-T186,STLD-E12,Build billing pipeline ingestion worker,"Aggregate billable events into invoice-ready line items with idempotent period close and reconciliation hooks.",Backend,4d,High,W1,"STLD-T185,STLD-T143","billing,worker,finance",Invoice line-item artifacts are generated deterministically and reconcile to source usage events with zero drift
STLD-T187,STLD-E12,Publish self-serve pricing page,"Launch public /pricing surface with Free Builder Growth Enterprise tiers and value-event pricing details.",Frontend + PM,2d,High,W2,STLD-T141,"pricing,frontend,gtm",Pricing page renders current plan terms and passes copy review with no contradictions to billing policy docs
STLD-T188,STLD-E12,Enable Stripe self-serve checkout by plan,"Map pricing plans to Stripe products checkout sessions and subscription lifecycle updates.",Backend,3d,Highest,W2,"STLD-T144,STLD-T187","stripe,billing,checkout",Tenants can upgrade from free to paid via checkout and billing state updates automatically on webhook confirmation
STLD-T189,STLD-E12,Enforce plan quotas in API gateway,"Apply plan-aware rate and volume caps for verified runs settlement volume and arbitration usage with clear error codes.",Backend,3d,Highest,W2,"STLD-T142,STLD-T188","quotas,api,billing",Requests above plan limits are blocked with stable quota error responses and quota counters remain consistent under retries
STLD-T190,STLD-E12,Implement overage billing and threshold alerts,"Apply overage calculation above included limits and issue 80 percent and 100 percent threshold notifications.",Backend + DevOps,3d,High,W2,"STLD-T186,STLD-T189","overage,alerts,billing",Overage line items appear in invoice artifacts and alert events fire once per threshold crossing per period
STLD-T191,STLD-E12,Launch arbitration queue ops UI,"Provide operator queue for open arbitration cases with filters SLA timers and ownership actions.",Frontend,3d,High,W3,STLD-T173,"arbitration,frontend,ops",Operators can list assign and triage arbitration cases from UI with state changes reflected in API within one refresh interval
STLD-T192,STLD-E12,Add arbitration evidence and ruling workspace,"Implement case detail panel for evidence review ruling draft and verdict submission with audit trace visibility.",Frontend + Backend,4d,High,W3,"STLD-T191,STLD-T173","arbitration,evidence,workflow",Rulings submitted from UI generate valid verdict artifacts linked to dispute evidence and pass verification checks
STLD-T193,STLD-E12,Ship policy preset packs for budgets and disputes,"Provide presets for spend caps holdbacks and dispute windows with one-click apply and rollback.",Frontend + Backend,3d,High,W3,"STLD-T122,STLD-T124","policy,presets,governance",Admins can apply preset packs and resulting policy hashes are versioned auditable and restorable
STLD-T194,STLD-E12,Expose public verified receipt endpoint and badge,"Publish a public receipt endpoint and embeddable badge proving verification status settlement outcome and receipt hash.",Backend + DevEx,3d,Medium,W3,"STLD-T178,STLD-T185","receipts,trust,devex",Receipt endpoint returns signed verification summary and badge embed validates against receipt hash with no private data leakage
STLD-T195,STLD-E12,Publish 10-minute first-settlement quickstart,"Create one canonical quickstart for AI tool providers from signup to first live settlement in under 10 minutes.",SDK/DevEx,2d,Highest,W4,"STLD-T188,STLD-T189","quickstart,devex,onboarding",New tenant can complete first live settlement by following documented steps and smoke script passes in CI
STLD-T196,STLD-E12,Ship three reference integrations for tool providers,"Deliver and test three production-like integration templates showing contract proof settlement dispute loops.",SDK/DevEx,4d,High,W4,STLD-T195,"integrations,examples,adoption",Three reference integrations run end-to-end in CI and each emits a verified settlement artifact
STLD-T197,STLD-E12,Launch docs changelog and onboarding email sequence,"Publish launch docs changelog and onboarding email journey tied to activation milestones.",PM + GTM,3d,Medium,W4,"STLD-T195,STLD-T196","launch,docs,gtm",Docs and email sequence are live and triggered by tenant onboarding events without manual intervention
STLD-T198,STLD-E12,Publish benchmark report and referral loop,"Release benchmark report on verification and settlement performance and launch referral loop for self-serve growth.",PM + DevOps + GTM,3d,Medium,W4,"STLD-T177,STLD-T197","benchmark,growth,referral",Benchmark report is published and referral funnel captures invite and conversion metrics end-to-end
STLD-T199,STLD-E12,Stand up MVSV command dashboard and launch gate,"Implement MVSV dashboard with funnel metrics and enforce 30-day launch exit criteria gate for go/no-go.",PM + Backend + DevOps,3d,Highest,W4,"STLD-T185,STLD-T190,STLD-T197","metrics,mvsv,launch-gate",Dashboard reports MVSV funnel and launch KPIs daily and go/no-go gate auto-evaluates defined thresholds
