Ticket Key,Epic Key,Summary,Description,Owner,Estimate,Priority,Sprint,Dependencies,Labels,Acceptance Criteria
STLD-T3101,STLD-E3101,Define onboarding state machine,"Define deterministic onboarding lifecycle states, transitions, failure classes, and rollback checkpoints for host+wallet+policy setup.",Tech Lead Architecture,3d,Highest,S1,,"onboarding,architecture,critical-path",State diagram and transition table are published; every transition has explicit success/failure criteria; invalid transitions are rejected in tests.
STLD-T3102,STLD-E3101,Implement host environment discovery,"Detect host profile, config locations, and runtime prerequisites across Windows/macOS/Linux with stable diagnostics.",DevEx Platform,3d,Highest,S1,STLD-T3101,"onboarding,host-detection,critical-path",CLI identifies host config path candidates and selects one deterministically; missing prerequisites produce actionable remediation output.
STLD-T3103,STLD-E3101,Build credential brokering workflow,Implement secure acquisition and validation of required API tokens and tenant context during onboarding.,Backend Platform,4d,Highest,S2,STLD-T3101,"onboarding,credentials,security,critical-path",Onboarding validates token scopes before proceeding; secrets are never logged; invalid tokens fail with stable error codes.
STLD-T3104,STLD-E3101,Implement one-command onboarding orchestrator,"Ship `settld onboard --host openclaw` orchestration that runs host wiring, wallet setup, policy setup, and smoke verification.",DevEx Platform,5d,Highest,S2,"STLD-T3102,STLD-T3103,STLD-T3108,STLD-T3116,STLD-T3123","onboarding,orchestrator,critical-path",Single command completes full setup in success path and outputs ready summary; failures include resumable step markers and deterministic exit codes.
STLD-T3105,STLD-E3101,Persist onboarding transaction journal,Record step-by-step onboarding events with idempotency keys to allow safe resume and audit visibility.,Backend Platform,4d,High,S2,STLD-T3104,"onboarding,journal,idempotency","Repeated onboarding invocations resume from last consistent checkpoint; journal exposes step status, timestamps, and error classification."
STLD-T3106,STLD-E3101,Implement onboarding rollback command,"Provide `settld onboard rollback` to unwind partial setup safely by host, tenant, wallet, and policy components.",Backend Platform,3d,High,S3,STLD-T3105,"onboarding,rollback,safety",Rollback removes or deactivates created artifacts according to plan; dry-run mode reports exact actions; rollback actions are auditable.
STLD-T3107,STLD-E3101,Generate first-run readiness score,Emit readiness score and required fixes after onboarding to standardize support and launch gates.,DevEx Platform,2d,Medium,S3,STLD-T3104,"onboarding,diagnostics,dx","Output includes readiness score, failing checks, and fix commands; score computation is deterministic for same system state."
STLD-T3108,STLD-E3102,Define wallet provider interface,"Specify adapter contract for wallet provisioning, reserve/escrow operations, signing, and capability declarations.",Tech Lead Architecture,3d,Highest,S1,,"wallets,adapters,contract,critical-path","Interface document defines required methods, error taxonomy, and capability flags; contract tests fail for incomplete adapters."
STLD-T3109,STLD-E3102,Implement Circle wallet adapter,"Build Circle adapter with testnet/mainnet modes, spend+escrow provisioning, reserve calls, and balance checks.",Backend Platform,5d,Highest,S2,STLD-T3108,"wallets,circle,adapter,critical-path",Adapter provisions wallets and performs authorize/settle flow in test harness; provider errors map to normalized Settld codes.
STLD-T3110,STLD-E3102,Implement Privy wallet adapter,"Build Privy adapter using same interface with parity behaviors for provisioning, authorization, and receipts.",Backend Platform,5d,High,S3,STLD-T3108,"wallets,privy,adapter",Privy adapter passes contract tests and end-to-end smoke; runtime can select Privy without code-path changes.
STLD-T3111,STLD-E3102,Implement external wallet bridge adapter,Build external/BYO wallet bridge for delegated authorization and receipt capture when wallets are managed outside Settld.,Backend Platform,4d,High,S3,STLD-T3108,"wallets,external,adapter",External adapter supports non-custodial flow with signed attestations; missing attestations fail closed.
STLD-T3112,STLD-E3102,Build adapter capability registry,"Create registry exposing provider capabilities, limits, required env vars, and compliance flags to onboarding UX.",Backend Platform,3d,High,S2,STLD-T3108,"wallets,registry,onboarding",Registry returns normalized capability profile for each adapter; onboarding renders only valid options for selected environment.
STLD-T3113,STLD-E3102,Implement wallet selection decision engine,"Implement recommendation logic to pick default provider based on user intent, environment, and compliance constraints.",Product Platform,3d,High,S2,STLD-T3112,"wallets,selection,ux",Engine returns ranked provider options with rationale; deterministic recommendation for same input context.
STLD-T3114,STLD-E3102,Automate spend wallet provisioning,Provision spend wallet and baseline funding checks via selected adapter during onboarding.,Backend Platform,4d,High,S3,"STLD-T3109,STLD-T3113","wallets,provisioning,critical-path",Spend wallet ID/address are persisted and verified; insufficient funding state is detected and surfaced with remediation steps.
STLD-T3115,STLD-E3102,Automate escrow wallet provisioning,Provision escrow wallet and link reserve policy bindings for authorization and settlement flows.,Backend Platform,4d,High,S3,STLD-T3114,"wallets,escrow,critical-path",Escrow wallet is created and linked to policy context; authorize->verify->receipt flow references escrow linkage correctly.
